2.9807,2.1292,2.5241
4.9783,2.2740,1.7339
3.3480,3.9051,1.4519
4.6460,0.9662,1.4129
1.9971,3.7330,4.7144
3.4933,3.2721,3.1533
3.9402,2.0705,0.1548
4.2538,4.2125,1.2895
1.6153,2.6463,1.7811
3.2050,1.8396,1.8926
0.4722,0.3968,2.5192
1.9713,4.7780,1.8723
2.5918,0.1291,3.0615
1.5960,4.6393,2.8988
4.6015,3.6683,3.1435
4.3212,2.8543,1.8403
0.0543,4.3927,4.6003
0.7298,0.6180,3.6810
3.3365,2.8718,3.8654
3.3610,1.4997,3.8038
1.9989,3.9314,4.3129
1.8552,3.3968,3.0046
1.9256,4.7409,1.8071
0.6130,1.4820,3.9960
0.5383,0.6247,0.6509
4.7269,0.8186,2.8312
3.6420,3.8958,4.2227
2.8177,2.5880,2.2457
4.7515,1.0386,4.9280
1.1635,2.7019,4.9222
3.2742,4.0654,4.8744
2.3170,2.3750,0.5448
4.8681,1.6734,2.4769
3.2456,2.0513,0.4342
4.3921,1.8295,1.2187
4.3080,0.2455,4.8739
3.2559,1.5236,3.0174
1.2953,4.4688,3.2374
1.6505,1.0866,2.3012
0.9041,2.0157,1.5406
3.6492,0.7872,4.7202
3.6956,0.2226,4.7232
4.3970,3.4235,3.9640
0.0826,1.0208,3.5487
4.6494,2.1434,0.8735
3.9384,2.8581,4.9934
2.0916,3.4052,2.4270
0.4306,4.2331,3.7191
1.6054,2.1174,3.3313
1.1442,1.4886,1.9278
3.9897,1.7610,1.2399
2.1010,0.2090,2.4519
3.9284,1.4149,2.5498
4.7089,1.6575,4.0828
3.3216,1.0652,0.2548
1.2155,4.2938,3.0519
0.0561,0.7741,2.9885
2.8100,1.8192,0.0071
0.1690,2.5115,2.5760
1.4862,0.8019,4.3475
3.9728,0.6682,4.4085
0.8203,3.1380,3.6307
4.8051,3.4557,1.4670
0.4449,3.2257,2.0400
3.1682,4.4858,2.5066
4.1353,4.7157,3.9181
2.3979,3.5081,1.0575
2.3832,1.0788,4.9423
2.8913,3.0482,3.8118
4.3304,4.9467,0.7608
1.7972,4.6066,0.7047
0.8859,0.3159,1.5313
3.9273,0.6872,2.2666
0.2436,3.2277,2.9886
0.3901,0.1992,0.1751
4.5452,4.9259,2.9508
3.0381,1.9372,4.3832
2.8682,1.3684,1.2152
4.9843,0.5318,1.6720
3.2033,0.3780,4.5708
3.0147,0.7877,0.7937
4.4083,3.7666,2.9213
4.8696,0.4143,0.1890
2.8744,1.3865,2.4212
4.1979,0.0243,4.1739
3.0095,2.3553,0.1212
0.8198,4.5631,2.7285
0.9908,0.0629,0.7935
4.1985,0.6788,1.8632
4.9163,0.2238,4.9510
3.2829,2.9951,3.0624
2.1425,3.7995,2.7617
1.0695,3.9300,1.2731
2.0670,3.9696,2.1538
4.9155,2.7634,3.6811
0.4318,2.5646,2.2940
0.7132,4.5487,2.4583
0.6807,3.1658,4.5334
1.4158,2.7478,4.9931
4.3956,0.1194,1.5366
3.2620,1.9613,2.7552
2.5709,2.3891,4.7144
4.9083,3.0390,0.5056
4.1506,2.7019,1.2947
1.2290,0.0337,4.6814
2.8079,0.4496,4.1795
2.9997,3.3105,1.8523
0.7673,3.0545,2.4814
1.5340,4.2981,0.0903
0.0440,4.0807,0.1267
1.9333,3.7610,4.1715
0.9319,4.8238,3.4540
1.4051,3.3107,1.0234
1.3156,3.4952,4.8457
4.7360,2.2384,0.0243
4.8925,3.6062,3.0735
1.8888,4.4639,3.4580
1.6400,4.5401,4.9546
1.2129,0.6865,4.6513
4.5206,2.8756,0.6284
2.9908,1.3476,1.5133
3.3410,3.9287,2.6722
3.9263,2.3598,1.5990
0.8620,2.9602,1.0937
4.0671,4.0136,1.0599
3.2739,1.0037,2.1016
2.1397,2.4244,4.2640
3.5136,0.2090,0.3469
2.4946,1.6048,4.2458
2.6836,1.4964,1.2420
2.1493,2.0665,4.2705
1.5591,4.3462,0.0329
3.7405,0.2675,3.0915
1.7838,3.8464,2.1360
2.8777,4.9972,4.4794
0.8137,0.9471,1.3480
0.1547,4.2320,1.8917
